InChIKey,BRYU005:Precursor m/z
AGPKZVBTJJNPAG-UHFFFAOYSA-N,132.1018
AUNGANRZJHBGPY-SCRDCRAPSA-N,377.1453
AYFVYJQAPQTCCC-UHFFFAOYSA-N,120.06541999999999
BPMFZUMJYQTVII-UHFFFAOYSA-N,
COLNVLDHVKWLRT-UHFFFAOYSA-N,166.08616999999998
CQOVPNPJLQNMDC-ZETCQYMHSA-N,227.11371
CVSVTCORWBXHQV-UHFFFAOYSA-N,132.07658
CWLQUGTUXBXTLF-UHFFFAOYSA-N,
CYZKJBZEIFWZSR-LURJTMIESA-N,170.0921
CZMRCDWAGMRECN-UGDNZRGBSA-N,
DCXYFEDJOCDNAF-REOHCLBHSA-N,133.06083999999998
DDRJAANPRJIHGJ-UHFFFAOYSA-N,114.065926
DFPAKSUCGFBDDF-UHFFFAOYSA-N,123.05521
DTERQYGMUDWYAZ-ZETCQYMHSA-N,189.12318
DZGWFCGJZKJUFP-UHFFFAOYSA-N,138.0912
DZTHIGRZJZPRDV-GFCCVEGCSA-N,247.10752999999997
FDGQSTZJBFJUBT-UHFFFAOYSA-N,137.04565
FEMXZDUTFRTWPE-UHFFFAOYSA-N,240.10881
FONIWJIDLJEJTL-UHFFFAOYSA-N,
GFFGJBXGBJISGV-UHFFFAOYSA-N,136.0617
GFYLSDSUCHVORB-IOSLPCCCSA-N,
GHOKWGTUZJEAQD-UHFFFAOYSA-N,220.11774
GUBGYTABKSRVRQ-QUYVBRFLSA-N,
HCZHHEIFKROPDY-UHFFFAOYSA-N,190.04973999999999
HJSLFCCWAKVHIW-UHFFFAOYSA-N,113.05961599999999
HNDVDQJCIGZPNO-YFKPBYRVSA-N,156.0765
HNXQXTQTPAJEJL-UHFFFAOYSA-N,164.05649
HZAXFHJVJLSVMW-UHFFFAOYSA-N,62.060093
IAZDPXIOMUYVGZ-UHFFFAOYSA-N,79.021194
JDHILDINMRGULE-UHFFFAOYSA-N,170.0921
JFLIEFSWGNOPJJ-JTQLQIEISA-N,265.11782999999997
JSJWCHRYRHKBBW-UHFFFAOYSA-N,133.06071
JZRWCGZRTZMZEH-UHFFFAOYSA-N,265.11166000000003
KBOJOGQFRVVWBH-ZETCQYMHSA-N,198.08717
KDXKERNSBIXSRK-YFKPBYRVSA-N,147.11267
KSPIYJQBLVDRRI-WDSKDSINSA-N,146.11745
KSPQDMRTZZYQLM-UHFFFAOYSA-N,170.04463
KWIUHFFTVRNATP-UHFFFAOYSA-N,118.08606999999999
LDHMAVIPBRSVRG-UHFFFAOYSA-O,137.07088000000002
LEVWYRKDKASIDU-IMJSIDKUSA-N,241.03094
LMIQERWZRIFWNZ-UHFFFAOYSA-N,134.05983
LNQVTSROQXJCDD-KQYNXXCUSA-N,
LOIYMIARKYCTBW-OWOJBTEDSA-N,139.05002
MEFKEPWMEQBLKI-AIRLBKTGSA-N,399.14432
MTCFGRXMJLQNBG-UHFFFAOYSA-N,106.04983
MXNRLFUSFKVQSK-UHFFFAOYSA-N,189.15945
MYYIAHXIVFADCU-QMMMGPOBSA-N,241.12932999999998
NIDVTARKFBZMOT-PEBGCTIMSA-N,
NOFNCLGCUJJPKU-UHFFFAOYSA-N,
NTYJJOPFIAHURM-UHFFFAOYSA-N,112.08688000000001
NWGZOALPWZDXNG-UHFFFAOYSA-N,203.14983999999998
ODKSFYDXXFIFQN-BYPYZUCNSA-N,175.11888000000002
OEYIOHPDSNJKLS-UHFFFAOYSA-N,104.10683399999999
OIRDTQYFTABQOQ-KQYNXXCUSA-N,
OIVLITBTBDPEFK-UHFFFAOYSA-N,
ONPXCLZMBSJLSP-CSMHCCOUSA-N,229.11816000000002
OPVPGKGADVGKTG-UHFFFAOYSA-N,
PFNFFQXMRSDOHW-UHFFFAOYSA-N,
PFWLFWPASULGAN-UHFFFAOYSA-N,167.05624
PFWQSHXPNKRLIV-UHFFFAOYSA-N,158.08119
PHIQHXFUZVPYII-UHFFFAOYSA-N,162.11241
PMZDQRJGMBOQBF-UHFFFAOYSA-N,146.05989
PQNASZJZHFPQLE-UHFFFAOYSA-N,
PRJKNHOMHKJCEJ-UHFFFAOYSA-N,127.05006399999999
PWKSKIMOESPYIA-BYPYZUCNSA-N,
QFDRTQONISXGJA-UHFFFAOYSA-N,183.05113
QIAFMBKCNZACKA-UHFFFAOYSA-N,180.06529
QIVBCDIJIAJPQS-UHFFFAOYSA-N,205.09715
RDHQFKQIGNGIED-UHFFFAOYSA-N,204.12299
RDPUKVRQKWBSPK-ZOQUXTDFSA-N,258.1084
ROHFNLRQFUQHCH-UHFFFAOYSA-N,
RSPURTUNRHNVGF-IOSLPCCCSA-N,312.13
RWSXRVCMGQZWBV-UHFFFAOYSA-N,
RYYVLZVUVIJVGH-UHFFFAOYSA-N,
