InChIKey,BRYU005:Precursor m/z
RZJCFLSPBDUNDH-ZOQUXTDFSA-N,
SLEHROROQDYRAW-KQYNXXCUSA-N,
SNCKGJWJABDZHI-ZKWXMUAHSA-N,
SUHOQUVVVLNYQR-MRVPVSSYSA-N,258.11005
SZJNCZMRZAUNQT-IUCAKERBSA-N,211.14408999999998
TUHVEAJXIMEOSA-UHFFFAOYSA-N,
UFAHZIUFPNSHSL-MRVPVSSYSA-N,218.13852000000003
UTAIYTHAJQNQDW-KQYNXXCUSA-N,
UYPYRKYUKCHHIB-UHFFFAOYSA-N,76.07558399999999
UYTPUPDQBNUYGX-UHFFFAOYSA-N,152.0566
VEYYWZRYIYDQJM-ZETCQYMHSA-N,
VQAYFKKCNSOZKM-IOSLPCCCSA-N,
VVHOUVWJCQOYGG-UHFFFAOYSA-N,176.06644
WHUUTDBJXJRKMK-UHFFFAOYSA-N,148.06038
WUUGFSXJNOTRMR-IOSLPCCCSA-N,298.09665
WWNNZCOKKKDOPX-UHFFFAOYSA-N,138.05466
XGEGHDBEHXKFPX-UHFFFAOYSA-N,
XIGSAGMEBXLVJJ-UHFFFAOYSA-N,190.11853
XJODGRWDFZVTKW-LURJTMIESA-N,
XJWPISBUKWZALE-UHFFFAOYSA-N,154.09736999999998
XOAAWQZATWQOTB-UHFFFAOYSA-N,126.0219
XSQUKJJJFZCRTK-UHFFFAOYSA-N,61.039646
XXEWFEBMSGLYBY-ZETCQYMHSA-N,
ZDXPYRJPNDTMRX-UHFFFAOYSA-N,147.07631
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,181.07188
ZJUKTBDSGOFHSH-WFMPWKQPSA-N,385.12866
