Title,BRYU005_Neg_SA0012_QE2_HILIC_011: Precursor m/z Info,BRYU005_Neg_SA0002_QE2_HILIC_013: Precursor m/z Info,BRYU005_Neg_SA0019_QE2_HILIC_015: Precursor m/z Info
1_Methionine_d8,,156.0938: 0.0002,156.0939: 0.0001
1_Creatinine_d3,115.0704: 0.0,115.0704: 0.0,115.0704: 0.0
1_CUDA,339.2653: 0.0,339.2653: 0.0,339.2654: 0.0
1_Glutamine_d5,150.0932: 0.0001,150.0932: 0.0001,150.0932: 0.0001
1_Glutamic Acid_d3,149.0646: 0.0002,149.0645: 0.0002,149.0646: 0.0001
1_Arginine_d7,180.1484: 0.0,180.1482: 0.0001,180.1483: 0.0001
1_Tryptophan d5,208.114: 0.0,208.1139: 0.0,208.114: 0.0
1_Serine d3,107.0541: 0.0,107.0541: 0.0,107.0541: 0.0
1_Hippuric acid d5,183.0822: 0.0001,183.0823: 0.0001,183.0823: 0.0001
