file_path,file_name,type,class_id,batch,analytical_order,inject_volume
/hpc/projects/mass_spec/projects/TLG1025/processed_raw_data/neg/BK_Neg_019700_TLG1025_QE2.mzML,BK_Neg_019700_TLG1025_QE2,Blank,blank,1,1,5
/hpc/projects/mass_spec/projects/TLG1025/processed_raw_data/neg/QC_Neg_019702_TLG1025_QE2.mzML,QC_Neg_019702_TLG1025_QE2,QC,pool,1,2,5
/hpc/projects/mass_spec/projects/TLG1025/processed_raw_data/neg/zikv3hr_biphasic_F1_R3_T3hr_Untargeted_DDA_HILIC_Neg_019704_TLG1025_QE2.mzML,zikv3hr_biphasic_F1_R3_T3hr_Untargeted_DDA_HILIC_Neg_019704_TLG1025_QE2,Sample,zikv3hr,1,3,5
/hpc/projects/mass_spec/projects/TLG1025/processed_raw_data/neg/denv33hr_biphasic_F1_R1_T33hr_Untargeted_DDA_HILIC_Neg_019706_TLG1025_QE2.mzML,denv33hr_biphasic_F1_R1_T33hr_Untargeted_DDA_HILIC_Neg_019706_TLG1025_QE2,Sample,denv33hr,1,4,5
/hpc/projects/mass_spec/projects/TLG1025/processed_raw_data/neg/denv24hr_biphasic_F1_R1_T24hr_Untargeted_DDA_HILIC_Neg_019708_TLG1025_QE2.mzML,denv24hr_biphasic_F1_R1_T24hr_Untargeted_DDA_HILIC_Neg_019708_TLG1025_QE2,Sample,denv24hr,1,5,5
/hpc/projects/mass_spec/projects/TLG1025/processed_raw_data/neg/zikv15hr_biphasic_F1_R1_T15hr_Untargeted_DDA_HILIC_Neg_019710_TLG1025_QE2.mzML,zikv15hr_biphasic_F1_R1_T15hr_Untargeted_DDA_HILIC_Neg_019710_TLG1025_QE2,Sample,zikv15hr,1,6,5
/hpc/projects/mass_spec/projects/TLG1025/processed_raw_data/neg/uninfected30hr_biphasic_F1_R2_T30hr_Untargeted_DDA_HILIC_Neg_019712_TLG1025_QE2.mzML,uninfected30hr_biphasic_F1_R2_T30hr_Untargeted_DDA_HILIC_Neg_019712_TLG1025_QE2,Sample,uninf30hr,1,7,5
/hpc/projects/mass_spec/projects/TLG1025/processed_raw_data/neg/denv6hr_biphasic_F1_R1_T6hr_Untargeted_DDA_HILIC_Neg_019716_TLG1025_QE2.mzML,denv6hr_biphasic_F1_R1_T6hr_Untargeted_DDA_HILIC_Neg_019716_TLG1025_QE2,Sample,denv6hr,1,8,5
/hpc/projects/mass_spec/projects/TLG1025/processed_raw_data/neg/zikv30hr_biphasic_F1_R2_T30hr_Untargeted_DDA_HILIC_Neg_019718_TLG1025_QE2.mzML,zikv30hr_biphasic_F1_R2_T30hr_Untargeted_DDA_HILIC_Neg_019718_TLG1025_QE2,Sample,zikv30hr,1,9,5
/hpc/projects/mass_spec/projects/TLG1025/processed_raw_data/neg/BK_Neg_019720_TLG1025_QE2.mzML,BK_Neg_019720_TLG1025_QE2,Blank,blank,1,10,5
/hpc/projects/mass_spec/projects/TLG1025/processed_raw_data/neg/QC_Neg_019722_TLG1025_QE2.mzML,QC_Neg_019722_TLG1025_QE2,QC,pool,1,11,5
