InChIKey,BRYU005:RT (min),diffRETENTIONTIME
WRUSVQOKJIDBLP-HWKANZROSA-N,3.084659,2.4000000000246047e-05
WXNXCEHXYPACJF-UHFFFAOYSA-N,,
WXTMDXOMEHJXQO-UHFFFAOYSA-N,3.084659,0.05829100000000009
XGILAAMKEQUXLS-UHFFFAOYSA-N,,
XLBVNMSMFQMKEY-BYPYZUCNSA-N,8.505142999999999,0.1628759999999989
XOAAWQZATWQOTB-UHFFFAOYSA-N,7.8678927,0.13882569999999994
XUYPXLNMDZIRQH-UHFFFAOYSA-N,,
YGSDEFSMJLZEOE-UHFFFAOYSA-N,,
ZDXPYRJPNDTMRX-UHFFFAOYSA-N,8.648736999999999,0.09961999999999982
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,1.6300073999999998,0.14329939999999985
ZMHLUFWWWPBTIU-UHFFFAOYSA-N,5.8490987,0.06408170000000002
