InChIKey,BRYU005:RT (min),diffRETENTIONTIME
UFAHZIUFPNSHSL-MRVPVSSYSA-N,6.383858999999999,0.1722740000000007
UTAIYTHAJQNQDW-KQYNXXCUSA-N,,
UYPYRKYUKCHHIB-UHFFFAOYSA-N,5.5505824,0.10180140000000026
UYTPUPDQBNUYGX-UHFFFAOYSA-N,6.552459,0.14927599999999952
VEYYWZRYIYDQJM-ZETCQYMHSA-N,,
VQAYFKKCNSOZKM-IOSLPCCCSA-N,,
VVHOUVWJCQOYGG-UHFFFAOYSA-N,8.827911,0.03197199999999967
WHUUTDBJXJRKMK-UHFFFAOYSA-N,8.827911,0.10984499999999997
WUUGFSXJNOTRMR-IOSLPCCCSA-N,2.610302,0.08475199999999994
WWNNZCOKKKDOPX-UHFFFAOYSA-N,7.4824247,0.002575300000000169
XGEGHDBEHXKFPX-UHFFFAOYSA-N,,
XIGSAGMEBXLVJJ-UHFFFAOYSA-N,8.695327,0.11142883200000142
XJODGRWDFZVTKW-LURJTMIESA-N,,
XJWPISBUKWZALE-UHFFFAOYSA-N,6.0957704,0.09848739999999978
XOAAWQZATWQOTB-UHFFFAOYSA-N,7.867337700000001,0.19375370000000114
XSQUKJJJFZCRTK-UHFFFAOYSA-N,2.8206847,0.04983470000000034
XXEWFEBMSGLYBY-ZETCQYMHSA-N,,
ZDXPYRJPNDTMRX-UHFFFAOYSA-N,8.649168,0.12848499999999952
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,1.6272518999999999,0.13243689999999986
ZJUKTBDSGOFHSH-WFMPWKQPSA-N,8.827911,0.12482800000000083
