InChIKey,Precursor m/z,RT (min),Height
AEMOLEFTQBMNLQ-AQKNRBDQSA-N,193.03535,9.19945,764936.0
AKEUNCKRJATALU-UHFFFAOYSA-N,153.01932,1.0975311,8236283.0
ALRHLSYJTWAHJZ-UHFFFAOYSA-N,89.02445999999999,2.3114786,2581961.5
AQTYXAPIHMXAAV-UHFFFAOYSA-N,203.00201,1.1661398,23351520.0
AYFVYJQAPQTCCC-UHFFFAOYSA-N,118.05101,8.321062,757002.75
BTJIUGUIPKRLHP-UHFFFAOYSA-N,,,
BXFFHSIDQOFMLE-UHFFFAOYSA-N,212.00227,1.379081,77994392.0
BYXCFUMGEBZDDI-UHFFFAOYSA-N,,,
CBQJSKKFNMDLON-UHFFFAOYSA-N,,,
CCVYRRGZDBSHFU-UHFFFAOYSA-N,,,
CGFRVKXGZRODPA-UHFFFAOYSA-N,,,
COLNVLDHVKWLRT-UHFFFAOYSA-N,,,
CZMRCDWAGMRECN-UGDNZRGBSA-N,341.10876,8.519939,96616.6953125
CZWCKYRVOZZJNM-USOAJAOKSA-N,367.1585,1.379081,1824402.25
DCICDMMXFIELDF-UHFFFAOYSA-N,,,
DCXYFEDJOCDNAF-REOHCLBHSA-N,131.0462,8.796796,633272.1875
DDRJAANPRJIHGJ-UHFFFAOYSA-N,112.05157,4.95444,79452672.0
DRTQHJPVMGBUCF-XVFCMESISA-N,243.06222999999997,5.00799,185115.171875
DTERQYGMUDWYAZ-ZETCQYMHSA-N,,,
DUUGKQCEGZLZNO-UHFFFAOYSA-N,,,
FDGQSTZJBFJUBT-UHFFFAOYSA-N,135.03125,5.00799,3722205.0
FJKROLUGYXJWQN-UHFFFAOYSA-N,137.0244,1.4729888,7514558.0
GHOKWGTUZJEAQD-UHFFFAOYSA-N,218.10342000000003,3.465205,1610509.875
HCZHHEIFKROPDY-UHFFFAOYSA-N,188.03531,6.2962894,1581019.875
HEBKCHPVOIAQTA-QWWZWVQMSA-N,151.06113,7.1285086,2546657.25
HNDVDQJCIGZPNO-YFKPBYRVSA-N,154.06215,9.46422,8081246.5
HNEGQIOMVPPMNR-IHWYPQMZSA-N,129.01936,1.7290472,23593816.0
IGMNYECMUMZDDF-UHFFFAOYSA-N,167.03493999999998,2.7983849999999997,1300744.25
ILGMGHZPXRDCCS-UHFFFAOYSA-N,,,
JDHILDINMRGULE-UHFFFAOYSA-N,168.07779,9.475328,3869413.75
JFCQEDHGNNZCLN-UHFFFAOYSA-N,131.03493999999998,2.789841,22978690.0
JFLIEFSWGNOPJJ-JTQLQIEISA-N,263.1037,6.006848000000001,23308416.0
JVGVDSSUAVXRDY-UHFFFAOYSA-N,,,
JVTAAEKCZFNVCJ-UHFFFAOYSA-N,89.02445,3.8085907,1839668.375
KBOJOGQFRVVWBH-ZETCQYMHSA-N,196.07277,8.169437,1088057.625
