InChIKey,BRYU005:Precursor m/z,diffPrecursormz
AGPKZVBTJJNPAG-UHFFFAOYSA-N,132.1018,0.0001
AUNGANRZJHBGPY-SCRDCRAPSA-N,377.1453,0.0003
AYFVYJQAPQTCCC-UHFFFAOYSA-N,120.06542,8.00E-05
BPMFZUMJYQTVII-UHFFFAOYSA-N,,
COLNVLDHVKWLRT-UHFFFAOYSA-N,166.08617,0.00013
CQOVPNPJLQNMDC-ZETCQYMHSA-N,227.11371,0.00019
CVSVTCORWBXHQV-UHFFFAOYSA-N,132.07658,0.00022
CWLQUGTUXBXTLF-UHFFFAOYSA-N,,
CYZKJBZEIFWZSR-LURJTMIESA-N,170.0921,0.0001
CZMRCDWAGMRECN-UGDNZRGBSA-N,,
DCXYFEDJOCDNAF-REOHCLBHSA-N,133.06084,4.00E-05
DDRJAANPRJIHGJ-UHFFFAOYSA-N,114.065926,0.000274
DFPAKSUCGFBDDF-UHFFFAOYSA-N,123.05521,9.00E-05
DTERQYGMUDWYAZ-ZETCQYMHSA-N,189.12318,0.00022
DZGWFCGJZKJUFP-UHFFFAOYSA-N,138.0912,0.0001
DZTHIGRZJZPRDV-GFCCVEGCSA-N,247.10753,0.00013
FDGQSTZJBFJUBT-UHFFFAOYSA-N,137.04565,0.00015
FEMXZDUTFRTWPE-UHFFFAOYSA-N,240.10881,0.00029
FONIWJIDLJEJTL-UHFFFAOYSA-N,,
GFFGJBXGBJISGV-UHFFFAOYSA-N,136.0617,0.0001
GFYLSDSUCHVORB-IOSLPCCCSA-N,,
GHOKWGTUZJEAQD-UHFFFAOYSA-N,220.11774,0.00026
GUBGYTABKSRVRQ-QUYVBRFLSA-N,,
HCZHHEIFKROPDY-UHFFFAOYSA-N,190.04974,0.00016
HJSLFCCWAKVHIW-UHFFFAOYSA-N,113.059616,8.40E-05
HNDVDQJCIGZPNO-YFKPBYRVSA-N,156.0765,0.0003
HNXQXTQTPAJEJL-UHFFFAOYSA-N,164.05649,0.00021
HZAXFHJVJLSVMW-UHFFFAOYSA-N,62.060093,0.000717
