InChIKey,BRYU005:Precursor m/z,diffPrecursormz
SXUXMRMBWZCMEN-ZOQUXTDFSA-N,,
TYFQFVWCELRYAO-UHFFFAOYSA-N,,
UTAIYTHAJQNQDW-KQYNXXCUSA-N,296.09997999999996,0.000279999999975189
UZTFMUBKZQVKLK-UHFFFAOYSA-N,144.06659,0.0009900000000016007
VBUYCZFBVCCYFD-NUNKFHFFSA-N,,
VVHOUVWJCQOYGG-UHFFFAOYSA-N,174.05196999999998,0.0003300000000194814
VZCYOOQTPOCHFL-UPHRSURJSA-N,115.00363,0.0012300000000067257
WGNAKZGUSRVWRH-UHFFFAOYSA-N,187.00696000000002,6.000000001904482e-05
WHUUTDBJXJRKMK-UHFFFAOYSA-N,146.04591000000002,0.000910000000033051
WLJVNTCWHIRURA-UHFFFAOYSA-N,159.06627,0.0009699999999952524
WNLRTRBMVRJNCN-UHFFFAOYSA-N,145.05064,0.0010399999999890497
WRUSVQOKJIDBLP-HWKANZROSA-N,156.0666,0.00010000000000331966
WXNXCEHXYPACJF-UHFFFAOYSA-N,,
WXTMDXOMEHJXQO-UHFFFAOYSA-N,153.0193,0.0010999999999796728
XGILAAMKEQUXLS-UHFFFAOYSA-N,,
XLBVNMSMFQMKEY-BYPYZUCNSA-N,160.06151,0.0009100000000046293
XOAAWQZATWQOTB-UHFFFAOYSA-N,124.00731,0.001010000000007949
XUYPXLNMDZIRQH-UHFFFAOYSA-N,,
YGSDEFSMJLZEOE-UHFFFAOYSA-N,,
ZDXPYRJPNDTMRX-UHFFFAOYSA-N,145.06183000000001,0.001130000000017617
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,179.05743,6.999999999379725e-05
ZMHLUFWWWPBTIU-UHFFFAOYSA-N,194.0458,0.0001999999999782176
