InChIKey,BRYU005:Precursor m/z,diffPrecursormz
AEMOLEFTQBMNLQ-AQKNRBDQSA-N,193.03535,0.0004500000000007276
AKEUNCKRJATALU-UHFFFAOYSA-N,153.01932,2.0000000006348273e-05
ALRHLSYJTWAHJZ-UHFFFAOYSA-N,89.02445999999999,0.0012599999999878264
AQTYXAPIHMXAAV-UHFFFAOYSA-N,203.00201,0.00018999999997504347
AYFVYJQAPQTCCC-UHFFFAOYSA-N,118.05101,0.0012100000000003774
BTJIUGUIPKRLHP-UHFFFAOYSA-N,,
BXFFHSIDQOFMLE-UHFFFAOYSA-N,212.00227,0.00047000000000707587
BYXCFUMGEBZDDI-UHFFFAOYSA-N,,
CBQJSKKFNMDLON-UHFFFAOYSA-N,,
CCVYRRGZDBSHFU-UHFFFAOYSA-N,,
CGFRVKXGZRODPA-UHFFFAOYSA-N,,
COLNVLDHVKWLRT-UHFFFAOYSA-N,,
CZMRCDWAGMRECN-UGDNZRGBSA-N,341.10876,0.0003399999999942338
CZWCKYRVOZZJNM-USOAJAOKSA-N,367.1585,9.999999997489795e-05
DCICDMMXFIELDF-UHFFFAOYSA-N,,
DCXYFEDJOCDNAF-REOHCLBHSA-N,131.0462,0.0012000000000114142
DDRJAANPRJIHGJ-UHFFFAOYSA-N,112.05157,0.0011700000000018917
DRTQHJPVMGBUCF-XVFCMESISA-N,243.06222999999997,0.0002299999999593183
DTERQYGMUDWYAZ-ZETCQYMHSA-N,,
DUUGKQCEGZLZNO-UHFFFAOYSA-N,,
FDGQSTZJBFJUBT-UHFFFAOYSA-N,135.03125,0.0011499999999955435
FJKROLUGYXJWQN-UHFFFAOYSA-N,137.0244,0.0010000000000047748
GHOKWGTUZJEAQD-UHFFFAOYSA-N,218.10342000000003,0.0005200000000229466
HCZHHEIFKROPDY-UHFFFAOYSA-N,188.03531,0.001010000000007949
HEBKCHPVOIAQTA-QWWZWVQMSA-N,151.06113,0.0009299999999825559
HNDVDQJCIGZPNO-YFKPBYRVSA-N,154.06215,0.0007500000000106866
HNEGQIOMVPPMNR-IHWYPQMZSA-N,129.01936,0.00046000000000390173
IGMNYECMUMZDDF-UHFFFAOYSA-N,167.03493999999998,0.0007399999999790907
ILGMGHZPXRDCCS-UHFFFAOYSA-N,,
JDHILDINMRGULE-UHFFFAOYSA-N,168.07779,0.0006899999999916417
JFCQEDHGNNZCLN-UHFFFAOYSA-N,131.03493999999998,0.0011399999999639476
JFLIEFSWGNOPJJ-JTQLQIEISA-N,263.1037,0.0004000000000132786
JVGVDSSUAVXRDY-UHFFFAOYSA-N,,
JVTAAEKCZFNVCJ-UHFFFAOYSA-N,89.02445,0.0007499999999964757
KBOJOGQFRVVWBH-ZETCQYMHSA-N,196.07277,0.0005699999999819738
KDYFGRWQOYBRFD-UHFFFAOYSA-N,117.01932,0.0012199999999893407
KSPQDMRTZZYQLM-UHFFFAOYSA-N,,
KTHDTJVBEPMMGL-UHFFFAOYSA-N,,
LOIYMIARKYCTBW-OWOJBTEDSA-N,137.03561000000002,0.0011100000000112686
LXVSANCQXSSLPA-UHFFFAOYSA-N,,
MTCFGRXMJLQNBG-UHFFFAOYSA-N,104.03535500000001,0.001255000000014661
MYYIAHXIVFADCU-QMMMGPOBSA-N,239.11496,0.0002599999999972624
NBIIXXVUZAFLBC-UHFFFAOYSA-N,96.960045,0.0010849999999891224
NIDVTARKFBZMOT-PEBGCTIMSA-N,,
NOFNCLGCUJJPKU-UHFFFAOYSA-N,,
NWGZOALPWZDXNG-UHFFFAOYSA-N,,
ONPXCLZMBSJLSP-CSMHCCOUSA-N,,
PMOWTIHVNWZYFI-AATRIKPKSA-N,163.04012,0.0010200000000111231
POJWUDADGALRAB-UHFFFAOYSA-N,157.03665,0.0008500000000140062
PTJWIQPHWPFNBW-GBNDHIKLSA-N,243.06222999999997,0.00012999999998442036
PXQPEWDEAKTCGB-UHFFFAOYSA-N,155.00986,0.0009599999999920783
PYUSHNKNPOHWEZ-YFKPBYRVSA-N,176.03856000000002,0.000660000000010541
QFDRTQONISXGJA-UHFFFAOYSA-N,181.03673,0.0001699999999971169
QIVBCDIJIAJPQS-UHFFFAOYSA-N,203.08252,0.0004199999999912052
QVWAEZJXDYOKEH-UHFFFAOYSA-N,165.0557,0.0007999999999981355
RFCQJGFZUQFYRF-UHFFFAOYSA-N,,
RSPURTUNRHNVGF-IOSLPCCCSA-N,310.11575,0.00015000000001919034
RWSXRVCMGQZWBV-UHFFFAOYSA-N,,
SQVRNKJHWKZAKO-LUWBGTNYSA-N,,
