Title,BRYU005_BK_Neg_QE2_HILIC_007: Height,BRYU005_QC_1_Neg_QE2_HILIC_009: Height,BRYU005_Neg_SA0012_QE2_HILIC_011: Height,BRYU005_Neg_SA0002_QE2_HILIC_013: Height,BRYU005_Neg_SA0019_QE2_HILIC_015: Height,BRYU005_Neg_SA0067_QE2_HILIC_017: Height,BRYU005_Neg_SA0070_QE2_HILIC_019: Height,BRYU005_Neg_SA0064_QE2_HILIC_021: Height,BRYU005_Neg_SA0066_QE2_HILIC_023: Height,BRYU005_Neg_SA0054_QE2_HILIC_025: Height,BRYU005_Neg_SA0062_QE2_HILIC_027: Height,BRYU005_Neg_SA0003_QE2_HILIC_029: Height,BRYU005_BK_Neg_QE2_HILIC_031: Height,BRYU005_QC_2_Neg_QE2_HILIC_033: Height,BRYU005_Neg_SA0015_QE2_HILIC_035: Height,BRYU005_Neg_SA0041_QE2_HILIC_037: Height,BRYU005_Neg_SA0004_QE2_HILIC_039: Height,BRYU005_Neg_SA0061_QE2_HILIC_041: Height,BRYU005_Neg_SA0068_QE2_HILIC_043: Height,BRYU005_Neg_SA0007_QE2_HILIC_045: Height,BRYU005_Neg_SA0006_QE2_HILIC_047: Height,BRYU005_Neg_SA0037_QE2_HILIC_049: Height,BRYU005_Neg_SA0044_QE2_HILIC_051: Height,BRYU005_Neg_SA0026_QE2_HILIC_053: Height,BRYU005_BK_Neg_QE2_HILIC_055: Height,BRYU005_QC_3_Neg_QE2_HILIC_057: Height,BRYU005_Neg_SA0021_QE2_HILIC_059: Height,BRYU005_Neg_SA0046_QE2_HILIC_061: Height,BRYU005_Neg_SA0036_QE2_HILIC_063: Height,BRYU005_Neg_SA0059_QE2_HILIC_065: Height,BRYU005_Neg_SA0058_QE2_HILIC_067: Height,BRYU005_Neg_SA0035_QE2_HILIC_069: Height,BRYU005_Neg_SA0033_QE2_HILIC_071: Height,BRYU005_Neg_SA0060_QE2_HILIC_073: Height,BRYU005_Neg_SA0039_QE2_HILIC_075: Height,BRYU005_Neg_SA0045_QE2_HILIC_077: Height,BRYU005_BK_Neg_QE2_HILIC_079: Height,BRYU005_QC_4_Neg_QE2_HILIC_081: Height,BRYU005_Neg_SA0031_QE2_HILIC_083: Height,BRYU005_Neg_SA0043_QE2_HILIC_085: Height,BRYU005_Neg_SA0008_QE2_HILIC_087: Height,BRYU005_Neg_SA0022_QE2_HILIC_089: Height,BRYU005_Neg_SA0051_QE2_HILIC_091: Height,BRYU005_Neg_SA0025_QE2_HILIC_093: Height,BRYU005_Neg_SA0014_QE2_HILIC_095: Height,BRYU005_Neg_SA0069_QE2_HILIC_097: Height,BRYU005_Neg_SA0032_QE2_HILIC_099: Height,BRYU005_Neg_SA0005_QE2_HILIC_101: Height,BRYU005_BK_Neg_QE2_HILIC_103: Height,BRYU005_QC_5_Neg_QE2_HILIC_105: Height,BRYU005_Neg_SA0030_QE2_HILIC_107: Height,BRYU005_Neg_SA0010_QE2_HILIC_109: Height,BRYU005_Neg_SA0016_QE2_HILIC_111: Height,BRYU005_Neg_SA0057_QE2_HILIC_113: Height,BRYU005_Neg_SA0023_QE2_HILIC_115: Height,BRYU005_Neg_SA0042_QE2_HILIC_117: Height,BRYU005_Neg_SA0071_QE2_HILIC_119: Height,BRYU005_Neg_SA0040_QE2_HILIC_121: Height,BRYU005_Neg_SA0020_QE2_HILIC_123: Height,BRYU005_Neg_SA0029_QE2_HILIC_125: Height,BRYU005_BK_Neg_QE2_HILIC_127: Height,BRYU005_QC_6_Neg_QE2_HILIC_129: Height,BRYU005_Neg_SA0065_QE2_HILIC_131: Height,BRYU005_Neg_SA0024_QE2_HILIC_133: Height,BRYU005_Neg_SA0028_QE2_HILIC_135: Height,BRYU005_Neg_SA0053_QE2_HILIC_137: Height,BRYU005_Neg_SA0001_QE2_HILIC_139: Height,BRYU005_Neg_SA0017_QE2_HILIC_141: Height,BRYU005_Neg_SA0048_QE2_HILIC_143: Height,BRYU005_Neg_SA0056_QE2_HILIC_145: Height,BRYU005_Neg_SA0047_QE2_HILIC_147: Height,BRYU005_Neg_SA0055_QE2_HILIC_149: Height,BRYU005_BK_Neg_QE2_HILIC_151: Height,BRYU005_QC_7_Neg_QE2_HILIC_153: Height,BRYU005_Neg_SA0013_QE2_HILIC_155: Height,BRYU005_Neg_SA0011_QE2_HILIC_157: Height,BRYU005_Neg_SA0038_QE2_HILIC_159: Height,BRYU005_Neg_SA0009_QE2_HILIC_161: Height,BRYU005_Neg_SA0052_QE2_HILIC_163: Height,BRYU005_Neg_SA0063_QE2_HILIC_165: Height,BRYU005_Neg_SA0034_QE2_HILIC_167: Height,BRYU005_Neg_SA0072_QE2_HILIC_169: Height,BRYU005_Neg_SA0018_QE2_HILIC_171: Height,BRYU005_Neg_SA0027_QE2_HILIC_173: Height,BRYU005_BK_Neg_QE2_HILIC_175: Height,BRYU005_QC_8_Neg_QE2_HILIC_177: Height,BRYU005_Neg_SA0049_QE2_HILIC_179: Height,BRYU005_Neg_SA0050_QE2_HILIC_181: Height,BRYU005_Neg_SA0082_QE2_HILIC_183: Height,BRYU005_Neg_SA0115_QE2_HILIC_185: Height,BRYU005_Neg_SA0135_QE2_HILIC_187: Height,BRYU005_Neg_SA0116_QE2_HILIC_189: Height,BRYU005_Neg_SA0084_QE2_HILIC_191: Height,BRYU005_Neg_SA0137_QE2_HILIC_193: Height,BRYU005_Neg_SA0080_QE2_HILIC_195: Height,BRYU005_Neg_SA0106_QE2_HILIC_197: Height,BRYU005_BK_Neg_QE2_HILIC_199: Height,BRYU005_QC_9_Neg_QE2_HILIC_201: Height,BRYU005_Neg_SA0136_QE2_HILIC_203: Height,BRYU005_Neg_SA0109_QE2_HILIC_205: Height,BRYU005_Neg_SA0139_QE2_HILIC_207: Height,BRYU005_Neg_SA0108_QE2_HILIC_209: Height,BRYU005_Neg_SA0083_QE2_HILIC_211: Height,BRYU005_Neg_SA0140_QE2_HILIC_213: Height,BRYU005_Neg_SA0124_QE2_HILIC_215: Height,BRYU005_Neg_SA0122_QE2_HILIC_217: Height,BRYU005_Neg_SA0073_QE2_HILIC_219: Height,BRYU005_Neg_SA0118_QE2_HILIC_221: Height,BRYU005_BK_Neg_QE2_HILIC_223: Height,BRYU005_QC_10_Neg_QE2_HILIC_225: Height,BRYU005_Neg_SA0142_QE2_HILIC_227: Height,BRYU005_Neg_SA0130_QE2_HILIC_229: Height,BRYU005_Neg_SA0138_QE2_HILIC_231: Height,BRYU005_Neg_SA0127_QE2_HILIC_233: Height,BRYU005_Neg_SA0113_QE2_HILIC_235: Height,BRYU005_Neg_SA0101_QE2_HILIC_237: Height,BRYU005_Neg_SA0092_QE2_HILIC_239: Height,BRYU005_Neg_SA0131_QE2_HILIC_241: Height,BRYU005_Neg_SA0104_QE2_HILIC_243: Height,BRYU005_Neg_SA0119_QE2_HILIC_245: Height,BRYU005_BK_Neg_QE2_HILIC_247: Height,BRYU005_QC_11_Neg_QE2_HILIC_249: Height,BRYU005_Neg_SA0133_QE2_HILIC_251: Height,BRYU005_Neg_SA0117_QE2_HILIC_253: Height,BRYU005_Neg_SA0129_QE2_HILIC_255: Height,BRYU005_Neg_SA0079_QE2_HILIC_257: Height,BRYU005_Neg_SA0091_QE2_HILIC_259: Height,BRYU005_Neg_SA0111_QE2_HILIC_261: Height,BRYU005_Neg_SA0112_QE2_HILIC_263: Height,BRYU005_Neg_SA0120_QE2_HILIC_265: Height,BRYU005_Neg_SA0097_QE2_HILIC_267: Height,BRYU005_Neg_SA0088_QE2_HILIC_269: Height,BRYU005_BK_Neg_QE2_HILIC_271: Height,BRYU005_QC_12_Neg_QE2_HILIC_273: Height,BRYU005_Neg_SA0077_QE2_HILIC_275: Height,BRYU005_Neg_SA0105_QE2_HILIC_277: Height,BRYU005_Neg_SA0098_QE2_HILIC_279: Height,BRYU005_Neg_SA0099_QE2_HILIC_281: Height,BRYU005_Neg_SA0141_QE2_HILIC_283: Height,BRYU005_Neg_SA0095_QE2_HILIC_285: Height,BRYU005_Neg_SA0085_QE2_HILIC_287: Height,BRYU005_Neg_SA0143_QE2_HILIC_289: Height,BRYU005_Neg_SA0090_QE2_HILIC_291: Height,BRYU005_Neg_SA0078_QE2_HILIC_293: Height,BRYU005_BK_Neg_QE2_HILIC_295: Height,BRYU005_QC_13_Neg_QE2_HILIC_297: Height,BRYU005_Neg_SA0114_QE2_HILIC_299: Height,BRYU005_Neg_SA0087_QE2_HILIC_301: Height,BRYU005_Neg_SA0100_QE2_HILIC_303: Height,BRYU005_Neg_SA0121_QE2_HILIC_305: Height,BRYU005_Neg_SA0102_QE2_HILIC_307: Height,BRYU005_Neg_SA0093_QE2_HILIC_309: Height,BRYU005_Neg_SA0123_QE2_HILIC_311: Height,BRYU005_Neg_SA0096_QE2_HILIC_313: Height,BRYU005_Neg_SA0144_QE2_HILIC_315: Height,BRYU005_Neg_SA0076_QE2_HILIC_317: Height,BRYU005_BK_Neg_QE2_HILIC_319: Height,BRYU005_QC_14_Neg_QE2_HILIC_321: Height,BRYU005_Neg_SA0089_QE2_HILIC_323: Height,BRYU005_Neg_SA0128_QE2_HILIC_325: Height,BRYU005_Neg_SA0134_QE2_HILIC_327: Height,BRYU005_Neg_SA0086_QE2_HILIC_329: Height,BRYU005_Neg_SA0075_QE2_HILIC_331: Height,BRYU005_Neg_SA0074_QE2_HILIC_333: Height,BRYU005_Neg_SA0103_QE2_HILIC_335: Height,BRYU005_Neg_SA0125_QE2_HILIC_337: Height,BRYU005_Neg_SA0081_QE2_HILIC_339: Height,BRYU005_Neg_SA0126_QE2_HILIC_341: Height,BRYU005_BK_Neg_QE2_HILIC_343: Height,BRYU005_QC_15_Neg_QE2_HILIC_345: Height,BRYU005_Neg_SA0110_QE2_HILIC_347: Height,BRYU005_Neg_SA0132_QE2_HILIC_349: Height,BRYU005_Neg_SA0094_QE2_HILIC_351: Height,BRYU005_Neg_SA0107_QE2_HILIC_353: Height,BRYU005_Neg_SA0166_QE2_HILIC_355: Height,BRYU005_Neg_SA0196_QE2_HILIC_357: Height,BRYU005_Neg_SA0195_QE2_HILIC_359: Height,BRYU005_Neg_SA0169_QE2_HILIC_361: Height,BRYU005_Neg_SA0188_QE2_HILIC_363: Height,BRYU005_Neg_SA0149_QE2_HILIC_365: Height,BRYU005_BK_Neg_QE2_HILIC_367: Height,BRYU005_QC_16_Neg_QE2_HILIC_369: Height,BRYU005_Neg_SA0168_QE2_HILIC_371: Height,BRYU005_Neg_SA0183_QE2_HILIC_373: Height,BRYU005_Neg_SA0206_QE2_HILIC_375: Height,BRYU005_Neg_SA0157_QE2_HILIC_377: Height,BRYU005_Neg_SA0177_QE2_HILIC_379: Height,BRYU005_Neg_SA0159_QE2_HILIC_381: Height,BRYU005_Neg_SA0213_QE2_HILIC_383: Height,BRYU005_Neg_SA0212_QE2_HILIC_385: Height,BRYU005_Neg_SA0171_QE2_HILIC_387: Height,BRYU005_Neg_SA0173_QE2_HILIC_389: Height,BRYU005_BK_Neg_QE2_HILIC_391: Height,BRYU005_QC_17_Neg_QE2_HILIC_393: Height,BRYU005_Neg_SA0152_QE2_HILIC_395: Height,BRYU005_Neg_SA0190_QE2_HILIC_397: Height,BRYU005_Neg_SA0162_QE2_HILIC_399: Height,BRYU005_Neg_SA0182_QE2_HILIC_401: Height,BRYU005_Neg_SA0200_QE2_HILIC_403: Height,BRYU005_Neg_SA0214_QE2_HILIC_405: Height,BRYU005_Neg_SA0167_QE2_HILIC_407: Height,BRYU005_Neg_SA0203_QE2_HILIC_409: Height,BRYU005_Neg_SA0145_QE2_HILIC_411: Height,BRYU005_Neg_SA0158_QE2_HILIC_413: Height,BRYU005_BK_Neg_QE2_HILIC_415: Height,BRYU005_QC_18_Neg_QE2_HILIC_417: Height,BRYU005_Neg_SA0148_QE2_HILIC_419: Height,BRYU005_Neg_SA0211_QE2_HILIC_421: Height,BRYU005_Neg_SA0178_QE2_HILIC_423: Height,BRYU005_Neg_SA0164_QE2_HILIC_425: Height,BRYU005_Neg_SA0163_QE2_HILIC_427: Height,BRYU005_Neg_SA0205_QE2_HILIC_429: Height,BRYU005_Neg_SA0210_QE2_HILIC_431: Height,BRYU005_Neg_SA0209_QE2_HILIC_433: Height,BRYU005_Neg_SA0185_QE2_HILIC_435: Height,BRYU005_Neg_SA0156_QE2_HILIC_437: Height,BRYU005_BK_Neg_QE2_HILIC_439: Height,BRYU005_QC_19_Neg_QE2_HILIC_441: Height,BRYU005_Neg_SA0160_QE2_HILIC_443: Height,BRYU005_Neg_SA0198_QE2_HILIC_445: Height,BRYU005_Neg_SA0184_QE2_HILIC_447: Height,BRYU005_Neg_SA0172_QE2_HILIC_449: Height,BRYU005_Neg_SA0202_QE2_HILIC_451: Height,BRYU005_Neg_SA0154_QE2_HILIC_453: Height,BRYU005_Neg_SA0151_QE2_HILIC_455: Height,BRYU005_Neg_SA0146_QE2_HILIC_457: Height,BRYU005_Neg_SA0187_QE2_HILIC_459: Height,BRYU005_BK_Neg_QE2_HILIC_461: Height,BRYU005_QC_20_Neg_QE2_HILIC_463: Height,BRYU005_Neg_SA0201_QE2_HILIC_465: Height,BRYU005_Neg_SA0170_QE2_HILIC_467: Height,BRYU005_Neg_SA0197_QE2_HILIC_469: Height,BRYU005_Neg_SA0147_QE2_HILIC_471: Height,BRYU005_Neg_SA0193_QE2_HILIC_473: Height,BRYU005_Neg_SA0155_QE2_HILIC_475: Height,BRYU005_Neg_SA0150_QE2_HILIC_477: Height,BRYU005_Neg_SA0194_QE2_HILIC_479: Height,BRYU005_Neg_SA0153_QE2_HILIC_481: Height,BRYU005_BK_Neg_QE2_HILIC_483: Height,BRYU005_QC_21_Neg_QE2_HILIC_485: Height,BRYU005_Neg_SA0191_QE2_HILIC_487: Height,BRYU005_Neg_SA0192_QE2_HILIC_489: Height,BRYU005_Neg_SA0207_QE2_HILIC_491: Height,BRYU005_Neg_SA0181_QE2_HILIC_493: Height,BRYU005_Neg_SA0208_QE2_HILIC_495: Height,BRYU005_Neg_SA0179_QE2_HILIC_497: Height,BRYU005_Neg_SA0174_QE2_HILIC_499: Height,BRYU005_Neg_SA0176_QE2_HILIC_501: Height,BRYU005_Neg_SA0165_QE2_HILIC_503: Height,BRYU005_BK_Neg_QE2_HILIC_505: Height,BRYU005_QC_22_Neg_QE2_HILIC_507: Height,BRYU005_Neg_SA0186_QE2_HILIC_509: Height,BRYU005_Neg_SA0180_QE2_HILIC_511: Height,BRYU005_Neg_SA0204_QE2_HILIC_513: Height,BRYU005_Neg_SA0215_QE2_HILIC_515: Height,BRYU005_Neg_SA0189_QE2_HILIC_517: Height,BRYU005_Neg_SA0175_QE2_HILIC_519: Height,BRYU005_Neg_SA0161_QE2_HILIC_521: Height,BRYU005_Neg_SA0199_QE2_HILIC_523: Height,BRYU005_Neg_SA0216_QE2_HILIC_525: Height,BRYU005_BK_23_Neg_QE2_HILIC_527: Height,BRYU005_QC_23_Neg_QE2_HILIC_529: Height
1_Methionine_d8,,43808.80859375,,42801.703125,41577.30078125,45274.8515625,40063.19140625,36395.06640625,,54217.07421875,,41273.9296875,,46359.27734375,39364.4375,42514.7109375,44751.0546875,43422.55078125,44153.21484375,57540.68359375,55989.796875,,,42803.83984375,,,,,40016.7421875,52184.8203125,60435.28125,36783.765625,61351.6171875,46229.96875,40061.5703125,,,50961.87109375,37519.0625,,48999.10546875,44751.6640625,35443.84375,,,,47993.359375,56334.2265625,,40279.9921875,57488.6953125,57903.35546875,,59645.71875,,,,,,50689.80078125,,39120.9921875,35479.43359375,,45335.46875,55343.6875,39775.54296875,,,55647.04296875,,56322.1796875,,47143.40625,40068.7265625,49164.6484375,,53173.1875,50036.3671875,40326.6875,49296.62109375,,,40169.14453125,,39679.38671875,,,,51364.53125,42759.4453125,42148.8671875,45017.1484375,,62390.34765625,,,44598.42578125,,42095.87890625,51492.34765625,45724.64453125,44909.96875,46223.4609375,36420.0,,,,,39132.03125,49682.21484375,,,,,46750.9375,38399.3125,50630.87890625,51418.33203125,,,46467.0703125,43777.53125,,43049.08984375,,47249.11328125,41309.65234375,,,,35838.51171875,,46765.328125,39745.6875,38097.90625,,,,,40001.0859375,,,,,46241.6171875,,42558.875,36483.875,,43611.23046875,,41028.41015625,,,,,45593.07421875,,43070.5703125,,,41277.484375,,,42704.21875,47582.7578125,57055.81640625,,40290.30859375,,42388.81640625,37339.24609375,41765.234375,36870.99609375,68170.2578125,38294.05859375,,43997.78125,,,45940.6328125,,42083.66015625,,49936.578125,48501.50390625,40198.96484375,,45130.42578125,,47347.5390625,,38746.140625,51098.84375,39716.76953125,,,51653.6796875,,,,,,,45936.8125,,40784.125,,42927.2578125,,52251.8125,,,,51115.30859375,,46853.91796875,,45719.27734375,,58962.23828125,,,,,45504.67578125,,42814.8671875,45463.27734375,,39725.48828125,37468.4921875,,,,,48011.921875,,38518.984375,,,44649.265625,51456.53515625,,,39683.76171875,51655.76171875,,,41315.72265625,,46980.3359375,48691.69140625,,,,,,,,43571.82421875
1_Creatinine_d3,930446.8125,730829.75,778730.8125,649334.875,817704.5,857772.6875,808756.5625,819109.75,864078.875,805840.0,832947.6875,737750.875,886872.5,850266.0,866041.9375,883101.8125,634643.4375,860184.875,846997.8125,848438.625,792698.0,799655.5,837585.8125,597752.75,767372.5625,614790.6875,816218.0,188967.140625,182441.796875,836580.0,811331.125,826248.375,832262.6875,831179.875,809211.4375,789052.4375,855568.8125,717811.5625,830937.8125,769338.1875,864948.8125,811898.25,700924.6875,611673.6875,830044.8125,755163.625,832474.3125,828232.25,751219.875,668752.25,759718.625,844321.375,747162.125,834437.5625,790323.6875,812970.9375,801875.875,803623.75,778590.625,770149.75,827224.6875,717608.5,866214.0,786142.75,639685.5,785599.125,638896.75,847371.875,765870.1875,776749.6875,829145.3125,837877.375,823100.9375,724680.4375,781976.3125,847767.75,831187.1875,823234.75,654405.5,796848.125,848640.0,779750.0,759276.0625,622439.5,754225.0625,755249.9375,626175.0,625474.625,874176.0625,740785.5625,811691.4375,785004.375,813915.0625,758958.4375,953334.5625,829668.6875,863915.5,744535.5625,811835.5,817793.0625,803353.875,752057.6875,837041.4375,800102.0625,731820.5,757630.4375,744607.875,,791776.625,739192.3125,777809.125,880480.9375,919770.0625,,876094.9375,857468.6875,722150.4375,883482.375,895728.875,789032.0625,812052.5625,761645.1875,867430.4375,837375.4375,898907.875,1075205.25,779710.75,842583.0625,802648.8125,841921.3125,755968.625,1013003.0,937930.75,839392.375,830401.25,900614.625,740708.5625,686653.8125,830073.0,,877052.5625,847162.0,980834.4375,902025.4375,823976.625,769226.3125,888317.9375,807726.25,735857.25,784161.25,853233.9375,832514.25,784299.3125,876048.1875,872877.6875,808025.625,929550.5,804236.0,955416.0,902640.0,853764.0625,892994.6875,777382.5,762260.875,867273.0625,867894.125,929297.0625,893613.9375,825198.0625,763838.625,,806522.0,796431.875,953215.0,836940.1875,748941.1875,834075.3125,795871.5625,856851.0,972528.5,858659.6875,787230.375,878347.1875,864435.6875,869536.25,937528.25,920374.25,898847.0625,822754.6875,817166.8125,827660.375,904809.5625,848410.1875,828176.75,932465.0625,919275.1875,891359.8125,882588.25,939729.75,866306.9375,900916.0,1025028.125,865300.9375,912113.5625,898511.5625,808940.4375,757356.4375,923641.125,957884.75,928103.625,852825.3125,926670.3125,959248.75,979974.25,877532.0625,843680.9375,859306.0,820785.8125,939565.3125,929516.0625,880655.9375,709856.5625,923762.0625,966623.0,846935.8125,838110.75,840229.125,905437.875,835935.5,938744.5,850244.75,900296.5,765117.6875,819401.3125,857662.875,919116.125,739411.75,927571.125,878841.1875,769285.0625,844516.375,897803.375,919330.625,921662.875,929126.0,934163.75,931988.4375,875209.9375,909745.0625,816595.9375,852031.625,978195.6875,896598.3125,846477.1875,833452.0,864671.8125,864498.625,898443.125,912029.75,886255.125,909490.125,762624.6875
1_CUDA,811720.25,1330062.625,712162.4375,1202115.125,724370.1875,614185.125,655619.75,671995.0,854973.875,703676.75,770286.4375,995925.3125,827235.375,1375232.125,661490.0625,837583.5625,391203.0625,727053.75,791146.6875,751774.25,662305.6875,707913.625,785300.6875,1024932.625,760546.4375,1307916.875,787214.0,757175.625,652698.0,781241.375,801489.0625,745069.0,796036.5625,779684.1875,862933.8125,838669.125,797258.3125,1224988.375,672454.75,721034.9375,762542.5,774842.6875,1024486.25,1228798.25,885857.4375,750943.3125,728826.3125,785610.375,699572.6875,1360042.375,803706.25,724001.625,780715.3125,738575.6875,801912.4375,732132.6875,746817.9375,745817.4375,797073.625,766773.75,741360.875,1443478.0,873300.6875,837411.75,412582.28125,734176.375,1048144.6875,859265.8125,858549.6875,789942.875,819407.8125,794469.25,725295.6875,1181821.125,689749.375,710899.8125,721578.75,802756.6875,410708.15625,876748.3125,778469.5625,910824.875,765380.3125,1112053.625,841641.75,1319789.75,1032432.625,978705.75,2298353.0,783387.5,831153.5625,635552.75,785320.3125,1352260.25,891886.5625,2149626.0,855989.0625,1109540.875,1210198.375,1944754.75,1020905.625,788097.1875,1982273.5,657713.125,1330301.625,1962452.625,2268228.5,,781601.25,1286838.875,839445.625,2114640.75,1200097.625,,1623035.0,2310902.25,580589.6875,1705595.0,1817475.125,732466.9375,743968.875,1427997.75,2141512.0,671269.875,2314203.25,2860531.25,1027759.75,892527.9375,893873.3125,896862.0,2600480.25,967979.4375,799474.625,1196165.625,2418527.0,2343600.25,2051910.125,1126161.125,734518.0,,1976195.375,715852.625,1309722.25,2476433.5,755841.4375,1390433.75,1368999.75,846291.25,1673301.75,2413719.25,2415798.0,607481.0,1100283.25,986515.0625,587259.5,1642911.125,769739.3125,1260113.375,1745535.0,2335541.5,866157.5625,899633.1875,1106187.875,1994390.875,2058646.875,2666178.0,2515234.75,2728839.5,908993.75,1383302.625,,865712.6875,819814.625,2150597.5,842255.3125,812045.25,1055031.5,2500607.0,735573.0625,870918.5625,833695.4375,1186124.25,698391.1875,897584.3125,769390.4375,1451263.0,2586535.75,951415.875,856020.125,670029.875,1035752.0625,884961.0625,785573.5625,1244204.0,858718.125,766978.125,1031867.125,809945.3125,762697.1875,871420.0625,737282.9375,2243805.5,2132437.25,945190.625,795123.9375,1274953.875,965120.375,900812.75,1855709.625,735347.875,975056.0625,1274823.375,1216538.25,1243895.5,1234529.75,1060639.25,693975.75,1247015.125,1164976.5,797011.3125,1210704.5,819539.9375,1807311.75,2259088.25,2051354.625,1946877.75,1084710.75,929676.4375,1370722.125,2032579.75,2007258.375,793531.0,1140169.625,2790711.0,2254780.25,783999.75,1917760.125,2283282.0,836973.375,1310549.25,804202.0625,605713.875,892711.125,1319562.125,1174734.875,2345237.5,786192.875,818355.375,791408.6875,864167.5,1332932.125,1094940.375,767815.0,742179.0,773843.4375,802299.5,1825818.75,1320866.0,1902538.125,620603.5,796361.5625,1308744.625
1_Glutamine_d5,6476889.5,4032802.5,3702132.5,2927510.0,3877236.0,3823862.75,4064470.75,3891093.0,3934663.25,5708187.5,3934536.25,2628976.5,7735187.0,4554023.5,4024498.0,3784305.0,2690739.75,4040321.0,3938377.75,5240248.0,5736807.5,3912205.25,3984177.25,2680330.0,6928772.0,3195318.5,3855481.75,3604693.25,3948293.5,4011667.75,5498131.5,3827089.0,5676111.5,4365022.5,3827490.75,4055258.25,7559991.0,3896596.0,5211550.5,3892097.75,5602497.5,4139025.25,2552920.5,2533116.0,3660990.5,4028753.75,5719825.0,5650708.5,6569241.0,4030797.0,5801239.5,5771048.5,3767905.75,5277237.5,3806105.0,4227566.0,4200890.0,3875303.25,3911885.25,5480629.5,6456639.0,4084534.5,3761250.25,3943716.0,2774585.5,5025356.5,2629307.0,3552957.5,3764292.0,5570666.5,3779732.75,5462912.5,6635328.5,3834673.0,4101599.25,3926795.0,3795431.25,5661529.5,2629522.5,3732497.75,5840128.0,3924169.25,3828308.5,2643668.25,6830308.5,3764562.0,2580644.25,2779354.25,5386473.5,4345648.5,4684400.0,4337965.0,4054964.25,4637681.5,5858300.5,5496089.0,7117833.5,3967325.25,4926825.0,5073742.0,4396172.0,4167234.0,4871230.0,3721395.5,4075426.75,3875173.0,3736018.0,,6673490.5,4054209.75,4996437.0,4861670.0,5641286.5,,4989733.0,5481023.5,3902540.75,4884366.5,4898446.0,4069619.0,6653804.0,4201987.0,4773160.0,4618576.5,4824207.0,6319222.5,4432620.0,4572348.0,4508889.5,4819774.0,3253691.0,5414832.5,7093595.5,4034742.75,4652574.0,4815511.0,3773428.75,3384936.75,4187988.0,,4822279.0,4243127.5,5351669.0,4820429.5,5706573.0,3819635.5,4968741.5,4231751.0,3816369.0,3301693.0,4996857.5,4508061.5,3372761.0,4754723.5,4599304.5,3990146.5,6637954.0,3971865.75,5030776.0,4918660.5,4342601.5,4371516.5,3385829.0,3560145.0,5383849.5,5121046.5,4834045.0,4921505.0,6410507.0,3515186.0,,4325422.0,4090469.5,4813053.0,4175693.0,3635095.0,3424926.25,3112890.5,4231539.5,5310588.0,6514400.0,3640470.75,4179269.25,4090834.5,4194369.5,5121883.0,5145879.5,4110965.25,4533208.5,4182990.5,3262137.5,5327801.5,6009059.0,3737420.75,5158950.5,4502671.5,5074087.0,4286951.0,5095434.0,4129835.0,4136061.75,4697823.0,3226983.75,4332993.5,6452101.5,3658331.5,4007534.5,3816818.25,4933573.5,3865726.5,3684442.0,4640531.5,5025423.0,5070126.0,4766870.5,3944728.5,5938832.5,3754190.5,4693486.5,4781956.0,4502984.0,3851192.25,4870516.0,4903893.5,5326528.5,3516130.25,3759148.5,6165007.5,3812075.75,5052187.5,3628928.25,5032851.0,3278988.75,3012653.0,4673497.5,4870752.0,3594903.25,5119253.5,6471936.0,3423447.25,4063789.0,4072030.0,4068181.0,4554165.5,4449754.0,4326948.5,4947698.5,4927050.5,4636564.5,6223684.5,4050599.0,4839464.0,3938352.5,4036195.0,4023876.5,4187296.5,5287011.0,4585360.0,5246324.5,4025857.0,6116285.0,3446387.0
