InChIKey,BRYU005:Height
AGPKZVBTJJNPAG-UHFFFAOYSA-N,11939171.0
AUNGANRZJHBGPY-SCRDCRAPSA-N,297225.5
AYFVYJQAPQTCCC-UHFFFAOYSA-N,2411870.75
BPMFZUMJYQTVII-UHFFFAOYSA-N,
COLNVLDHVKWLRT-UHFFFAOYSA-N,2894809.75
CQOVPNPJLQNMDC-ZETCQYMHSA-N,2066153.5
CVSVTCORWBXHQV-UHFFFAOYSA-N,23446302.0
CWLQUGTUXBXTLF-UHFFFAOYSA-N,
CYZKJBZEIFWZSR-LURJTMIESA-N,44313524.0
CZMRCDWAGMRECN-UGDNZRGBSA-N,
DCXYFEDJOCDNAF-REOHCLBHSA-N,3552512.25
DDRJAANPRJIHGJ-UHFFFAOYSA-N,3588188160.0
DFPAKSUCGFBDDF-UHFFFAOYSA-N,5687814.5
DTERQYGMUDWYAZ-ZETCQYMHSA-N,4788787.5
DZGWFCGJZKJUFP-UHFFFAOYSA-N,3620374.25
DZTHIGRZJZPRDV-GFCCVEGCSA-N,326095.1875
FDGQSTZJBFJUBT-UHFFFAOYSA-N,5037499.5
FEMXZDUTFRTWPE-UHFFFAOYSA-N,196331.546875
FONIWJIDLJEJTL-UHFFFAOYSA-N,
GFFGJBXGBJISGV-UHFFFAOYSA-N,1140010.375
GFYLSDSUCHVORB-IOSLPCCCSA-N,
GHOKWGTUZJEAQD-UHFFFAOYSA-N,6815478.0
GUBGYTABKSRVRQ-QUYVBRFLSA-N,
HCZHHEIFKROPDY-UHFFFAOYSA-N,11652433.0
HJSLFCCWAKVHIW-UHFFFAOYSA-N,4125101.25
HNDVDQJCIGZPNO-YFKPBYRVSA-N,91522824.0
HNXQXTQTPAJEJL-UHFFFAOYSA-N,468737.4375
HZAXFHJVJLSVMW-UHFFFAOYSA-N,18945830.0
IAZDPXIOMUYVGZ-UHFFFAOYSA-N,504867.4375
JDHILDINMRGULE-UHFFFAOYSA-N,153696992.0
JFLIEFSWGNOPJJ-JTQLQIEISA-N,145625984.0
JSJWCHRYRHKBBW-UHFFFAOYSA-N,1543272.75
JZRWCGZRTZMZEH-UHFFFAOYSA-N,2789262.5
KBOJOGQFRVVWBH-ZETCQYMHSA-N,4327479.0
KDXKERNSBIXSRK-YFKPBYRVSA-N,2708978.75
KSPIYJQBLVDRRI-WDSKDSINSA-N,1132793.0
KSPQDMRTZZYQLM-UHFFFAOYSA-N,6654719.0
KWIUHFFTVRNATP-UHFFFAOYSA-N,171019488.0
LDHMAVIPBRSVRG-UHFFFAOYSA-O,316901536.0
LEVWYRKDKASIDU-IMJSIDKUSA-N,309089.1875
LMIQERWZRIFWNZ-UHFFFAOYSA-N,46295148.0
LNQVTSROQXJCDD-KQYNXXCUSA-N,
LOIYMIARKYCTBW-OWOJBTEDSA-N,51689492.0
MEFKEPWMEQBLKI-AIRLBKTGSA-N,71179.0078125
MTCFGRXMJLQNBG-UHFFFAOYSA-N,2498897.75
MXNRLFUSFKVQSK-UHFFFAOYSA-N,58041492.0
MYYIAHXIVFADCU-QMMMGPOBSA-N,16634968.0
NIDVTARKFBZMOT-PEBGCTIMSA-N,
NOFNCLGCUJJPKU-UHFFFAOYSA-N,
NTYJJOPFIAHURM-UHFFFAOYSA-N,551056.875
NWGZOALPWZDXNG-UHFFFAOYSA-N,76776680.0
ODKSFYDXXFIFQN-BYPYZUCNSA-N,3106755.75
OEYIOHPDSNJKLS-UHFFFAOYSA-N,130116400.0
OIRDTQYFTABQOQ-KQYNXXCUSA-N,
OIVLITBTBDPEFK-UHFFFAOYSA-N,
ONPXCLZMBSJLSP-CSMHCCOUSA-N,15982421.0
OPVPGKGADVGKTG-UHFFFAOYSA-N,
PFNFFQXMRSDOHW-UHFFFAOYSA-N,
PFWLFWPASULGAN-UHFFFAOYSA-N,4018708.25
PFWQSHXPNKRLIV-UHFFFAOYSA-N,873712.1875
PHIQHXFUZVPYII-UHFFFAOYSA-N,149364640.0
PMZDQRJGMBOQBF-UHFFFAOYSA-N,392125.9375
PQNASZJZHFPQLE-UHFFFAOYSA-N,
PRJKNHOMHKJCEJ-UHFFFAOYSA-N,10838120.0
PWKSKIMOESPYIA-BYPYZUCNSA-N,
QFDRTQONISXGJA-UHFFFAOYSA-N,348222.5
QIAFMBKCNZACKA-UHFFFAOYSA-N,37569332.0
QIVBCDIJIAJPQS-UHFFFAOYSA-N,2565520.0
RDHQFKQIGNGIED-UHFFFAOYSA-N,106841352.0
RDPUKVRQKWBSPK-ZOQUXTDFSA-N,2434129.0
ROHFNLRQFUQHCH-UHFFFAOYSA-N,
RSPURTUNRHNVGF-IOSLPCCCSA-N,8557671.0
RWSXRVCMGQZWBV-UHFFFAOYSA-N,
RYYVLZVUVIJVGH-UHFFFAOYSA-N,
RZJCFLSPBDUNDH-ZOQUXTDFSA-N,
SLEHROROQDYRAW-KQYNXXCUSA-N,
SNCKGJWJABDZHI-ZKWXMUAHSA-N,
SUHOQUVVVLNYQR-MRVPVSSYSA-N,2163020.5
SZJNCZMRZAUNQT-IUCAKERBSA-N,809108.4375
TUHVEAJXIMEOSA-UHFFFAOYSA-N,
