InChIKey,BRYU005:Height
UFAHZIUFPNSHSL-MRVPVSSYSA-N,11169209.0
UTAIYTHAJQNQDW-KQYNXXCUSA-N,
UYPYRKYUKCHHIB-UHFFFAOYSA-N,230967424.0
UYTPUPDQBNUYGX-UHFFFAOYSA-N,1731838.875
VEYYWZRYIYDQJM-ZETCQYMHSA-N,
VQAYFKKCNSOZKM-IOSLPCCCSA-N,
VVHOUVWJCQOYGG-UHFFFAOYSA-N,4998069.5
WHUUTDBJXJRKMK-UHFFFAOYSA-N,318355.1875
WUUGFSXJNOTRMR-IOSLPCCCSA-N,8338730.5
WWNNZCOKKKDOPX-UHFFFAOYSA-N,2259976448.0
XGEGHDBEHXKFPX-UHFFFAOYSA-N,
XIGSAGMEBXLVJJ-UHFFFAOYSA-N,2711432.0
XJODGRWDFZVTKW-LURJTMIESA-N,
XJWPISBUKWZALE-UHFFFAOYSA-N,1859912.625
XOAAWQZATWQOTB-UHFFFAOYSA-N,2065215.5
XSQUKJJJFZCRTK-UHFFFAOYSA-N,485052352.0
XXEWFEBMSGLYBY-ZETCQYMHSA-N,
ZDXPYRJPNDTMRX-UHFFFAOYSA-N,26036972.0
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,6716085.0
ZJUKTBDSGOFHSH-WFMPWKQPSA-N,175886.8125
