InChIKey,Precursor m/z,RT (min),Height
AGPKZVBTJJNPAG-UHFFFAOYSA-N,132.1018,7.088125999999999,11939171.0
AUNGANRZJHBGPY-SCRDCRAPSA-N,377.1453,6.188773599999999,297225.5
AYFVYJQAPQTCCC-UHFFFAOYSA-N,120.06541999999999,8.326652000000001,2411870.75
BPMFZUMJYQTVII-UHFFFAOYSA-N,,,
COLNVLDHVKWLRT-UHFFFAOYSA-N,166.08616999999998,6.9564357,2894809.75
CQOVPNPJLQNMDC-ZETCQYMHSA-N,227.11371,9.621133,2066153.5
CVSVTCORWBXHQV-UHFFFAOYSA-N,132.07658,8.134265,23446302.0
CWLQUGTUXBXTLF-UHFFFAOYSA-N,,,
CYZKJBZEIFWZSR-LURJTMIESA-N,170.0921,9.034632,44313524.0
CZMRCDWAGMRECN-UGDNZRGBSA-N,,,
DCXYFEDJOCDNAF-REOHCLBHSA-N,133.06083999999998,8.805544,3552512.25
DDRJAANPRJIHGJ-UHFFFAOYSA-N,114.065926,4.951712000000001,3588188160.0
DFPAKSUCGFBDDF-UHFFFAOYSA-N,123.05521,1.7589525000000001,5687814.5
DTERQYGMUDWYAZ-ZETCQYMHSA-N,189.12318,8.134265,4788787.5
DZGWFCGJZKJUFP-UHFFFAOYSA-N,138.0912,5.6702185,3620374.25
DZTHIGRZJZPRDV-GFCCVEGCSA-N,247.10752999999997,2.7527854,326095.1875
FDGQSTZJBFJUBT-UHFFFAOYSA-N,137.04565,5.0087589999999995,5037499.5
FEMXZDUTFRTWPE-UHFFFAOYSA-N,240.10881,7.3508782,196331.546875
FONIWJIDLJEJTL-UHFFFAOYSA-N,,,
GFFGJBXGBJISGV-UHFFFAOYSA-N,136.0617,4.7100306,1140010.375
GFYLSDSUCHVORB-IOSLPCCCSA-N,,,
GHOKWGTUZJEAQD-UHFFFAOYSA-N,220.11774,3.4679908999999998,6815478.0
GUBGYTABKSRVRQ-QUYVBRFLSA-N,,,
HCZHHEIFKROPDY-UHFFFAOYSA-N,190.04973999999999,6.2891693,11652433.0
HJSLFCCWAKVHIW-UHFFFAOYSA-N,113.05961599999999,1.6183769,4125101.25
HNDVDQJCIGZPNO-YFKPBYRVSA-N,156.0765,9.444283500000001,91522824.0
HNXQXTQTPAJEJL-UHFFFAOYSA-N,164.05649,5.332957700000001,468737.4375
HZAXFHJVJLSVMW-UHFFFAOYSA-N,62.060093,7.3249854999999995,18945830.0
IAZDPXIOMUYVGZ-UHFFFAOYSA-N,79.021194,1.6477394,504867.4375
JDHILDINMRGULE-UHFFFAOYSA-N,170.0921,9.475971000000001,153696992.0
JFLIEFSWGNOPJJ-JTQLQIEISA-N,265.11782999999997,6.005226,145625984.0
JSJWCHRYRHKBBW-UHFFFAOYSA-N,133.06071,5.5407434,1543272.75
JZRWCGZRTZMZEH-UHFFFAOYSA-N,265.11166000000003,6.883717999999999,2789262.5
KBOJOGQFRVVWBH-ZETCQYMHSA-N,198.08717,8.175699,4327479.0
KDXKERNSBIXSRK-YFKPBYRVSA-N,147.11267,9.621133,2708978.75
KSPIYJQBLVDRRI-WDSKDSINSA-N,146.11745,6.622689200000001,1132793.0
KSPQDMRTZZYQLM-UHFFFAOYSA-N,170.04463,3.8661306000000004,6654719.0
KWIUHFFTVRNATP-UHFFFAOYSA-N,118.08606999999999,7.238487200000001,171019488.0
LDHMAVIPBRSVRG-UHFFFAOYSA-O,137.07088000000002,6.2472367,316901536.0
LEVWYRKDKASIDU-IMJSIDKUSA-N,241.03094,9.978972,309089.1875
LMIQERWZRIFWNZ-UHFFFAOYSA-N,134.05983,1.3748156,46295148.0
LNQVTSROQXJCDD-KQYNXXCUSA-N,,,
LOIYMIARKYCTBW-OWOJBTEDSA-N,139.05002,3.6264038,51689492.0
MEFKEPWMEQBLKI-AIRLBKTGSA-N,399.14432,9.781998,71179.0078125
MTCFGRXMJLQNBG-UHFFFAOYSA-N,106.04983,8.72503,2498897.75
MXNRLFUSFKVQSK-UHFFFAOYSA-N,189.15945,9.283844,58041492.0
MYYIAHXIVFADCU-QMMMGPOBSA-N,241.12932999999998,9.574589,16634968.0
NIDVTARKFBZMOT-PEBGCTIMSA-N,,,
NOFNCLGCUJJPKU-UHFFFAOYSA-N,,,
NTYJJOPFIAHURM-UHFFFAOYSA-N,112.08688000000001,8.338524000000001,551056.875
NWGZOALPWZDXNG-UHFFFAOYSA-N,203.14983999999998,9.003376,76776680.0
ODKSFYDXXFIFQN-BYPYZUCNSA-N,175.11888000000002,9.542111,3106755.75
OEYIOHPDSNJKLS-UHFFFAOYSA-N,104.10683399999999,5.1753054,130116400.0
OIRDTQYFTABQOQ-KQYNXXCUSA-N,,,
OIVLITBTBDPEFK-UHFFFAOYSA-N,,,
ONPXCLZMBSJLSP-CSMHCCOUSA-N,229.11816000000002,8.658227,15982421.0
OPVPGKGADVGKTG-UHFFFAOYSA-N,,,
PFNFFQXMRSDOHW-UHFFFAOYSA-N,,,
PFWLFWPASULGAN-UHFFFAOYSA-N,167.05624,3.6453233,4018708.25
PFWQSHXPNKRLIV-UHFFFAOYSA-N,158.08119,3.0915687000000003,873712.1875
PHIQHXFUZVPYII-UHFFFAOYSA-N,162.11241,7.8383727,149364640.0
PMZDQRJGMBOQBF-UHFFFAOYSA-N,146.05989,1.7999406000000002,392125.9375
PQNASZJZHFPQLE-UHFFFAOYSA-N,,,
PRJKNHOMHKJCEJ-UHFFFAOYSA-N,127.05006399999999,7.970499,10838120.0
PWKSKIMOESPYIA-BYPYZUCNSA-N,,,
QFDRTQONISXGJA-UHFFFAOYSA-N,183.05113,6.0471163,348222.5
QIAFMBKCNZACKA-UHFFFAOYSA-N,180.06529,3.022586,37569332.0
QIVBCDIJIAJPQS-UHFFFAOYSA-N,205.09715,6.9084644,2565520.0
RDHQFKQIGNGIED-UHFFFAOYSA-N,204.12299,7.1987309999999995,106841352.0
RDPUKVRQKWBSPK-ZOQUXTDFSA-N,258.1084,7.1576114,2434129.0
ROHFNLRQFUQHCH-UHFFFAOYSA-N,,,
RSPURTUNRHNVGF-IOSLPCCCSA-N,312.13,5.643605,8557671.0
RWSXRVCMGQZWBV-UHFFFAOYSA-N,,,
RYYVLZVUVIJVGH-UHFFFAOYSA-N,,,
RZJCFLSPBDUNDH-ZOQUXTDFSA-N,,,
SLEHROROQDYRAW-KQYNXXCUSA-N,,,
SNCKGJWJABDZHI-ZKWXMUAHSA-N,,,
SUHOQUVVVLNYQR-MRVPVSSYSA-N,258.11005,8.649168,2163020.5
SZJNCZMRZAUNQT-IUCAKERBSA-N,211.14408999999998,1.3282498,809108.4375
TUHVEAJXIMEOSA-UHFFFAOYSA-N,,,
UFAHZIUFPNSHSL-MRVPVSSYSA-N,218.13852000000003,6.383858999999999,11169209.0
UTAIYTHAJQNQDW-KQYNXXCUSA-N,,,
UYPYRKYUKCHHIB-UHFFFAOYSA-N,76.07558399999999,5.5505824,230967424.0
UYTPUPDQBNUYGX-UHFFFAOYSA-N,152.0566,6.552459,1731838.875
VEYYWZRYIYDQJM-ZETCQYMHSA-N,,,
VQAYFKKCNSOZKM-IOSLPCCCSA-N,,,
VVHOUVWJCQOYGG-UHFFFAOYSA-N,176.06644,8.827911,4998069.5
WHUUTDBJXJRKMK-UHFFFAOYSA-N,148.06038,8.827911,318355.1875
WUUGFSXJNOTRMR-IOSLPCCCSA-N,298.09665,2.610302,8338730.5
WWNNZCOKKKDOPX-UHFFFAOYSA-N,138.05466,7.4824247,2259976448.0
XGEGHDBEHXKFPX-UHFFFAOYSA-N,,,
XIGSAGMEBXLVJJ-UHFFFAOYSA-N,190.11853,8.695327,2711432.0
XJODGRWDFZVTKW-LURJTMIESA-N,,,
XJWPISBUKWZALE-UHFFFAOYSA-N,154.09736999999998,6.0957704,1859912.625
XOAAWQZATWQOTB-UHFFFAOYSA-N,126.0219,7.867337700000001,2065215.5
XSQUKJJJFZCRTK-UHFFFAOYSA-N,61.039646,2.8206847,485052352.0
XXEWFEBMSGLYBY-ZETCQYMHSA-N,,,
ZDXPYRJPNDTMRX-UHFFFAOYSA-N,147.07631,8.649168,26036972.0
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,181.07188,1.6272518999999999,6716085.0
ZJUKTBDSGOFHSH-WFMPWKQPSA-N,385.12866,8.827911,175886.8125
