Title,BRYU005_Neg_SA0012_QE2_HILIC_011: RT Info,BRYU005_Neg_SA0002_QE2_HILIC_013: RT Info,BRYU005_Neg_SA0019_QE2_HILIC_015: RT Info
1_Methionine_d8,,7.4942: 0.0222,7.5035: 0.0315
1_Creatinine_d3,4.9606: 0.0416,4.9538: 0.0348,4.9541: 0.0351
1_CUDA,1.141: 0.037,1.1443: 0.0403,1.1421: 0.0381
1_Glutamine_d5,8.6616: 0.0216,8.6529: 0.0129,8.6588: 0.0188
1_Glutamic Acid_d3,8.8183: 0.0083,8.8095: 0.0005,8.8161: 0.0061
1_Arginine_d7,9.5325: 0.0375,9.522: 0.027,9.5264: 0.0314
1_Tryptophan d5,6.9209: 0.0239,6.9113: 0.0143,6.9126: 0.0156
1_Serine d3,8.7194: 0.0054,8.7214: 0.0074,8.7281: 0.0141
1_Hippuric acid d5,3.034: 0.023,3.0273: 0.0163,3.0318: 0.0208
