InChIKey,BRYU005: RT (min)
LOIYMIARKYCTBW-OWOJBTEDSA-N,3.6264038
MEFKEPWMEQBLKI-AIRLBKTGSA-N,9.781998
MTCFGRXMJLQNBG-UHFFFAOYSA-N,8.72503
MXNRLFUSFKVQSK-UHFFFAOYSA-N,9.283844
MYYIAHXIVFADCU-QMMMGPOBSA-N,9.574589
NIDVTARKFBZMOT-PEBGCTIMSA-N,
NOFNCLGCUJJPKU-UHFFFAOYSA-N,
NTYJJOPFIAHURM-UHFFFAOYSA-N,8.338524
NWGZOALPWZDXNG-UHFFFAOYSA-N,9.003376
ODKSFYDXXFIFQN-BYPYZUCNSA-N,9.542111
OEYIOHPDSNJKLS-UHFFFAOYSA-N,5.1753054
OIRDTQYFTABQOQ-KQYNXXCUSA-N,
OIVLITBTBDPEFK-UHFFFAOYSA-N,
ONPXCLZMBSJLSP-CSMHCCOUSA-N,8.658227
OPVPGKGADVGKTG-UHFFFAOYSA-N,
PFNFFQXMRSDOHW-UHFFFAOYSA-N,
PFWLFWPASULGAN-UHFFFAOYSA-N,3.6453233
PFWQSHXPNKRLIV-UHFFFAOYSA-N,3.0915687
PHIQHXFUZVPYII-UHFFFAOYSA-N,7.8383727
PMZDQRJGMBOQBF-UHFFFAOYSA-N,1.7999406
PQNASZJZHFPQLE-UHFFFAOYSA-N,
PRJKNHOMHKJCEJ-UHFFFAOYSA-N,7.970499
PWKSKIMOESPYIA-BYPYZUCNSA-N,
QFDRTQONISXGJA-UHFFFAOYSA-N,6.0471163
QIAFMBKCNZACKA-UHFFFAOYSA-N,3.022586
QIVBCDIJIAJPQS-UHFFFAOYSA-N,6.9084644
RDHQFKQIGNGIED-UHFFFAOYSA-N,7.198731
RDPUKVRQKWBSPK-ZOQUXTDFSA-N,7.1576114
ROHFNLRQFUQHCH-UHFFFAOYSA-N,
RSPURTUNRHNVGF-IOSLPCCCSA-N,5.643605
RWSXRVCMGQZWBV-UHFFFAOYSA-N,
RYYVLZVUVIJVGH-UHFFFAOYSA-N,
RZJCFLSPBDUNDH-ZOQUXTDFSA-N,
SLEHROROQDYRAW-KQYNXXCUSA-N,
SNCKGJWJABDZHI-ZKWXMUAHSA-N,
SUHOQUVVVLNYQR-MRVPVSSYSA-N,8.649168
SZJNCZMRZAUNQT-IUCAKERBSA-N,1.3282498
TUHVEAJXIMEOSA-UHFFFAOYSA-N,
UFAHZIUFPNSHSL-MRVPVSSYSA-N,6.383859
UTAIYTHAJQNQDW-KQYNXXCUSA-N,
UYPYRKYUKCHHIB-UHFFFAOYSA-N,5.5505824
UYTPUPDQBNUYGX-UHFFFAOYSA-N,6.552459
VEYYWZRYIYDQJM-ZETCQYMHSA-N,
VQAYFKKCNSOZKM-IOSLPCCCSA-N,
VVHOUVWJCQOYGG-UHFFFAOYSA-N,8.827911
WHUUTDBJXJRKMK-UHFFFAOYSA-N,8.827911
WUUGFSXJNOTRMR-IOSLPCCCSA-N,2.610302
WWNNZCOKKKDOPX-UHFFFAOYSA-N,7.4824247
XGEGHDBEHXKFPX-UHFFFAOYSA-N,
XIGSAGMEBXLVJJ-UHFFFAOYSA-N,8.695327
XJODGRWDFZVTKW-LURJTMIESA-N,
XJWPISBUKWZALE-UHFFFAOYSA-N,6.0957704
XOAAWQZATWQOTB-UHFFFAOYSA-N,7.8673377
XSQUKJJJFZCRTK-UHFFFAOYSA-N,2.8206847
XXEWFEBMSGLYBY-ZETCQYMHSA-N,
ZDXPYRJPNDTMRX-UHFFFAOYSA-N,8.649168
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,1.6272519
ZJUKTBDSGOFHSH-WFMPWKQPSA-N,8.827911
