InChIKey,BRYU005: RT (min)
AGPKZVBTJJNPAG-UHFFFAOYSA-N,7.088126
AUNGANRZJHBGPY-SCRDCRAPSA-N,6.1887736
AYFVYJQAPQTCCC-UHFFFAOYSA-N,8.326652
BPMFZUMJYQTVII-UHFFFAOYSA-N,
COLNVLDHVKWLRT-UHFFFAOYSA-N,6.9564357
CQOVPNPJLQNMDC-ZETCQYMHSA-N,9.621133
CVSVTCORWBXHQV-UHFFFAOYSA-N,8.134265
CWLQUGTUXBXTLF-UHFFFAOYSA-N,
CYZKJBZEIFWZSR-LURJTMIESA-N,9.034632
CZMRCDWAGMRECN-UGDNZRGBSA-N,
DCXYFEDJOCDNAF-REOHCLBHSA-N,8.805544
DDRJAANPRJIHGJ-UHFFFAOYSA-N,4.951712
DFPAKSUCGFBDDF-UHFFFAOYSA-N,1.7589525
DTERQYGMUDWYAZ-ZETCQYMHSA-N,8.134265
DZGWFCGJZKJUFP-UHFFFAOYSA-N,5.6702185
DZTHIGRZJZPRDV-GFCCVEGCSA-N,2.7527854
FDGQSTZJBFJUBT-UHFFFAOYSA-N,5.008759
FEMXZDUTFRTWPE-UHFFFAOYSA-N,7.3508782
FONIWJIDLJEJTL-UHFFFAOYSA-N,
GFFGJBXGBJISGV-UHFFFAOYSA-N,4.7100306
GFYLSDSUCHVORB-IOSLPCCCSA-N,
GHOKWGTUZJEAQD-UHFFFAOYSA-N,3.4679909
GUBGYTABKSRVRQ-QUYVBRFLSA-N,
HCZHHEIFKROPDY-UHFFFAOYSA-N,6.2891693
HJSLFCCWAKVHIW-UHFFFAOYSA-N,1.6183769
HNDVDQJCIGZPNO-YFKPBYRVSA-N,9.4442835
HNXQXTQTPAJEJL-UHFFFAOYSA-N,5.3329577
HZAXFHJVJLSVMW-UHFFFAOYSA-N,7.3249855
IAZDPXIOMUYVGZ-UHFFFAOYSA-N,1.6477394
JDHILDINMRGULE-UHFFFAOYSA-N,9.475971
JFLIEFSWGNOPJJ-JTQLQIEISA-N,6.005226
JSJWCHRYRHKBBW-UHFFFAOYSA-N,5.5407434
JZRWCGZRTZMZEH-UHFFFAOYSA-N,6.883718
KBOJOGQFRVVWBH-ZETCQYMHSA-N,8.175699
KDXKERNSBIXSRK-YFKPBYRVSA-N,9.621133
KSPIYJQBLVDRRI-WDSKDSINSA-N,6.6226892
KSPQDMRTZZYQLM-UHFFFAOYSA-N,3.8661306
KWIUHFFTVRNATP-UHFFFAOYSA-N,7.2384872
LDHMAVIPBRSVRG-UHFFFAOYSA-O,6.2472367
LEVWYRKDKASIDU-IMJSIDKUSA-N,9.978972
LMIQERWZRIFWNZ-UHFFFAOYSA-N,1.3748156
LNQVTSROQXJCDD-KQYNXXCUSA-N,
